,Tag,Scraped_Data
0,a,
1,h1,Web scraping
2,a,Jump to navigation
3,a,Jump to search
4,table,"This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed.Find sources: ""Web scraping"" – news · newspapers · books · scholar · JSTOR (June 2017) (Learn how and when to remove this template message)"
5,a,
6,a,verification
7,a,improve this article
8,a,adding citations to reliable sources
9,a,"""Web scraping"""
10,a,news
11,a,newspapers
12,a,books
13,a,scholar
14,a,JSTOR
15,a,Learn how and when to remove this template message
16,a,Data scraping
17,p,"Web scraping, web harvesting, or web data extraction is data scraping used for extracting data from websites. The web scraping software may directly access the World Wide Web using the Hypertext Transfer Protocol or a web browser. While web scraping can be done manually by a software user, the term typically refers to automated processes implemented using a bot or web crawler. It is a form of copying in which specific data is gathered and copied from the web, typically into a central local database or spreadsheet, for later retrieval or analysis.
"
18,a,data scraping
19,a,extracting data
20,a,websites
21,a,World Wide Web
22,a,Hypertext Transfer Protocol
23,a,bot
24,a,web crawler
25,a,database
26,a,retrieval
27,a,analysis
28,p,"Web scraping a web page involves fetching it and extracting from it. Fetching is the downloading of a page (which a browser does when a user views a page). Therefore, web crawling is a main component of web scraping, to fetch pages for later processing. Once fetched, then extraction can take place. The content of a page may be parsed, searched, reformatted, its data copied into a spreadsheet or loaded into a database. Web scrapers typically take something out of a page, to make use of it for another purpose somewhere else. An example would be to find and copy names and telephone numbers, or companies and their URLs, or e-mail addresses to a list (contact scraping).
"
29,a,parsed
30,p,"Web scraping is used for contact scraping, and as a component of applications used for web indexing, web mining and data mining, online price change monitoring and price comparison, product review scraping (to watch the competition), gathering real estate listings, weather data monitoring, website change detection, research, tracking online presence and reputation, web mashup, and web data integration.
"
31,a,contact scraping
32,a,web indexing
33,a,web mining
34,a,data mining
35,a,price comparison
36,a,website change detection
37,a,web mashup
38,a,web data integration
39,p,"Web pages are built using text-based mark-up languages (HTML and XHTML), and frequently contain a wealth of useful data in text form. However, most web pages are designed for human end-users and not for ease of automated use. As a result, specialized tools and software have been developed to facilitate the scraping of web pages.
"
40,a,Web pages
41,a,HTML
42,a,XHTML
43,a,end-users
44,p,"Newer forms of web scraping involve monitoring data feeds from web servers.  For example, JSON is commonly used as a transport storage mechanism between the client and the web server.
"
45,a,JSON
46,p,"There are methods that some websites use to prevent web scraping, such as detecting and disallowing bots from crawling (viewing) their pages. In response, there are web scraping systems that rely on using techniques in  DOM parsing, computer vision and natural language processing to simulate human browsing to enable gathering web page content for offline parsing.
"
47,a,DOM
48,a,computer vision
49,a,natural language processing
50,h2,Contents
51,a,1 History
52,a,2 Techniques
53,a,2.1 Human copy-and-paste
54,a,2.2 Text pattern matching
55,a,2.3 HTTP programming
56,a,2.4 HTML parsing
57,a,2.5 DOM parsing
58,a,2.6 Vertical aggregation
59,a,2.7 Semantic annotation recognizing
60,a,2.8 Computer vision web-page analysis
61,a,3 Software
62,a,4 Legal issues
63,a,4.1 United States
64,a,4.2 European Union
65,a,4.3 Australia
66,a,4.4 India
67,a,5 Methods to prevent web scraping
68,a,6 See also
69,a,7 References
70,h2,History[edit]
71,a,edit
72,table,This section does not cite any sources. Please help improve this section by adding citations to reliable sources. Unsourced material may be challenged and removed. (October 2018) (Learn how and when to remove this template message)
73,a,
74,a,cite
75,a,sources
76,a,improve this section
77,a,adding citations to reliable sources
78,a,removed
79,a,Learn how and when to remove this template message
80,p,"The history of the web scraping dates back nearly to the time when the World Wide Web was born.
"
81,a,World Wide Web
82,a,[1]
83,a,World Wide Web Wanderer
84,a,JumpStation
85,a,API
86,a,Salesforce
87,a,eBay
88,h2,Techniques[edit]
89,a,edit
90,p,"Web scraping is the process of automatically mining data or collecting information from the World Wide Web. It is a field with active developments sharing a common goal with the semantic web vision, an ambitious initiative that still requires breakthroughs in text processing, semantic understanding, artificial intelligence and human-computer interactions. Current web scraping solutions range from the ad-hoc, requiring human effort, to fully automated systems that are able to convert entire web sites into structured information, with limitations.
"
91,a,semantic web
92,a,human-computer interactions
93,a,edit
94,p,"The simplest form of web scraping is manually copying and pasting data from a web page into a text file or spreadsheet. Sometimes even the best web-scraping technology cannot replace a human's manual examination and copy-and-paste, and sometimes this may be the only workable solution when the websites for scraping explicitly set up barriers to prevent machine automation.
"
95,a,edit
